#TAG,NAME IN REPO ,PURPOSE
 ,xorg-xbacklight,"enables changing screen brightness levels"
 ,xorg-font-util,"xorg fonts"
 ,xorg-xwininfo,"allows querying information about windows"
 ,xorg-server,"is the graphical server"
 ,xorg-xinit,"starts the graphical server"
 ,xorg-xprop,"is a tool for detecting window properties"
 ,xcompmgr,"is for transparency and removing screen-tearing"
 ,xclip,"allows for copying and pasting from the command line"
 ,xcape,"keybind map tool"
 ,xwallpaper,"sets the wallpaper"
 ,xdg-user-dirs,"Manage user directories like ~/Desktop and ~/Music"
 ,libnotify,"allows desktop notifications"
 ,wget,"Network utility to retrieve files from the Web"
 ,dunst,"is a suckless notification system"
 ,sxiv,"is a minimalist image viewer"
 ,mpv,"is the patrician's choice video player"
 ,man-db,"lets you read man pages of programs"
 ,pipewire,"Low-latency audio/video router and processor"
 ,pipewire-pulse,"Low-latency audio/video router and processor - PulseAudio replacement"
 ,pulsemixer,"CLI and curses mixer for pulseaudio"
 ,pamixer,"Pulseaudio command-line mixer like amixer"
 ,maim,"can take quick screenshots at your request"
 ,unclutter,"hides an inactive mouse"
 ,unrar,"extracts rar's"
 ,unzip,"unzips zips"
 ,zathura,"is a pdf viewer with vim-like bindings"
 ,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura"
 ,openssh,"security shell"
 ,picom,"dwm dependencie"
 ,zsh,"shell"
 ,tmux,"terminal window"
 ,python-pip,"pip"
 ,python-pynvim,"neovim dependencie"
A,asdf-vm,"Extendable version manager with support for Ruby, Node.js, Elixir, Erlang & more"
A,nerd-fonts-fira-code,"Patched font Fira (Fura) Code from the nerd-fonts library"
 ,noto-fonts-emoji,"Google Noto emoji fonts"
#A,libxft-bgra,"X FreeType library with support for BGRA glyphs and scaling"
# ,ttf-joypixels,"Emoji as a Service (formerly EmojiOne)"
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features"
G,https://github.com/stealthHat/dwm, "DWM fork"
G,https://github.com/stealthHat/slstatus, "Slstatus fork"
G,https://github.com/stealthHat/st, "St fork"
G,https://git.suckless.org/dmenu,"dmenu is a dynamic menu for X"
